"Name","Ozone","Solar.R","Wind","Temp","Month","Day"
"Sensor1",41,190,7.4,67,5,1
"Sensor2",36,118,8,72,5,2
"Sensor3",12,149,12.6,74,5,3
"Sensor4",18,313,11.5,62,5,4
"Sensor5",NA,NA,14.3,56,5,5
"Sensor6",28,NA,14.9,66,5,6
"Sensor7",23,299,8.6,65,5,7
"Sensor8",19,99,13.8,59,5,8
"Sensor9",8,19,20.1,61,5,9
"Sensor10",NA,194,8.6,69,5,10
"Sensor11",7,NA,6.9,74,5,11
"Sensor12",16,256,9.7,69,5,12
"Sensor13",11,290,9.2,66,5,13
"Sensor14",14,274,10.9,68,5,14
"Sensor15",18,65,13.2,58,5,15
"Sensor16",14,334,11.5,64,5,16
"Sensor17",34,307,12,66,5,17
"Sensor18",6,78,18.4,57,5,18
"Sensor19",30,322,11.5,68,5,19
"Sensor20",11,44,9.7,62,5,20
"Sensor21",1,8,9.7,59,5,21
"Sensor22",11,320,16.6,73,5,22
"Sensor23",4,25,9.7,61,5,23
"Sensor24",32,92,12,61,5,24
"Sensor25",NA,66,16.6,57,5,25
"Sensor26",NA,266,14.9,58,5,26
"Sensor27",NA,NA,8,57,5,27
"Sensor28",23,13,12,67,5,28
"Sensor29",45,252,14.9,81,5,29
"Sensor30",115,223,5.7,79,5,30
"Sensor31",37,279,7.4,76,5,31
"Sensor32",NA,286,8.6,78,6,1
"Sensor33",NA,287,9.7,74,6,2
"Sensor34",NA,242,16.1,67,6,3
"Sensor35",NA,186,9.2,84,6,4
"Sensor36",NA,220,8.6,85,6,5
"Sensor37",NA,264,14.3,79,6,6
"Sensor38",29,127,9.7,82,6,7
"Sensor39",NA,273,6.9,87,6,8
"Sensor40",71,291,13.8,90,6,9
"Sensor41",39,323,11.5,87,6,10
"Sensor42",NA,259,10.9,93,6,11
"Sensor43",NA,250,9.2,92,6,12
"Sensor44",23,148,8,82,6,13
"Sensor45",NA,332,13.8,80,6,14
"Sensor46",NA,322,11.5,79,6,15
"Sensor47",21,191,14.9,77,6,16
"Sensor48",37,284,20.7,72,6,17
"Sensor49",20,37,9.2,65,6,18
"Sensor50",12,120,11.5,73,6,19
"Sensor51",13,137,10.3,76,6,20
"Sensor52",NA,150,6.3,77,6,21
"Sensor53",NA,59,1.7,76,6,22
"Sensor54",NA,91,4.6,76,6,23
"Sensor55",NA,250,6.3,76,6,24
"Sensor56",NA,135,8,75,6,25
"Sensor57",NA,127,8,78,6,26
"Sensor58",NA,47,10.3,73,6,27
"Sensor59",NA,98,11.5,80,6,28
"Sensor60",NA,31,14.9,77,6,29
"Sensor61",NA,138,8,83,6,30
"Sensor62",135,269,4.1,84,7,1
"Sensor63",49,248,9.2,85,7,2
"Sensor64",32,236,9.2,81,7,3
"Sensor65",NA,101,10.9,84,7,4
"Sensor66",64,175,4.6,83,7,5
"Sensor67",40,314,10.9,83,7,6
"Sensor68",77,276,5.1,88,7,7
"Sensor69",97,267,6.3,92,7,8
"Sensor70",97,272,5.7,92,7,9
"Sensor71",85,175,7.4,89,7,10
"Sensor72",NA,139,8.6,82,7,11
"Sensor73",10,264,14.3,73,7,12
"Sensor74",27,175,14.9,81,7,13
"Sensor75",NA,291,14.9,91,7,14
"Sensor76",7,48,14.3,80,7,15
"Sensor77",48,260,6.9,81,7,16
"Sensor78",35,274,10.3,82,7,17
"Sensor79",61,285,6.3,84,7,18
"Sensor80",79,187,5.1,87,7,19
"Sensor81",63,220,11.5,85,7,20
"Sensor82",16,7,6.9,74,7,21
"Sensor83",NA,258,9.7,81,7,22
"Sensor84",NA,295,11.5,82,7,23
"Sensor85",80,294,8.6,86,7,24
"Sensor86",108,223,8,85,7,25
"Sensor87",20,81,8.6,82,7,26
"Sensor88",52,82,12,86,7,27
"Sensor89",82,213,7.4,88,7,28
"Sensor90",50,275,7.4,86,7,29
"Sensor91",64,253,7.4,83,7,30
"Sensor92",59,254,9.2,81,7,31
"Sensor93",39,83,6.9,81,8,1
"Sensor94",9,24,13.8,81,8,2
"Sensor95",16,77,7.4,82,8,3
"Sensor96",78,NA,6.9,86,8,4
"Sensor97",35,NA,7.4,85,8,5
"Sensor98",66,NA,4.6,87,8,6
"Sensor99",122,255,4,89,8,7
"Sensor100",89,229,10.3,90,8,8
"Sensor101",110,207,8,90,8,9
"Sensor102",NA,222,8.6,92,8,10
"Sensor103",NA,137,11.5,86,8,11
"Sensor104",44,192,11.5,86,8,12
"Sensor105",28,273,11.5,82,8,13
"Sensor106",65,157,9.7,80,8,14
"Sensor107",NA,64,11.5,79,8,15
"Sensor108",22,71,10.3,77,8,16
"Sensor109",59,51,6.3,79,8,17
"Sensor110",23,115,7.4,76,8,18
"Sensor111",31,244,10.9,78,8,19
"Sensor112",44,190,10.3,78,8,20
"Sensor113",21,259,15.5,77,8,21
"Sensor114",9,36,14.3,72,8,22
"Sensor115",NA,255,12.6,75,8,23
"Sensor116",45,212,9.7,79,8,24
"Sensor117",168,238,3.4,81,8,25
"Sensor118",73,215,8,86,8,26
"Sensor119",NA,153,5.7,88,8,27
"Sensor120",76,203,9.7,97,8,28
"Sensor121",118,225,2.3,94,8,29
"Sensor122",84,237,6.3,96,8,30
"Sensor123",85,188,6.3,94,8,31
"Sensor124",96,167,6.9,91,9,1
"Sensor125",78,197,5.1,92,9,2
"Sensor126",73,183,2.8,93,9,3
"Sensor127",91,189,4.6,93,9,4
"Sensor128",47,95,7.4,87,9,5
"Sensor129",32,92,15.5,84,9,6
"Sensor130",20,252,10.9,80,9,7
"Sensor131",23,220,10.3,78,9,8
"Sensor132",21,230,10.9,75,9,9
"Sensor133",24,259,9.7,73,9,10
"Sensor134",44,236,14.9,81,9,11
"Sensor135",21,259,15.5,76,9,12
"Sensor136",28,238,6.3,77,9,13
"Sensor137",9,24,10.9,71,9,14
"Sensor138",13,112,11.5,71,9,15
"Sensor139",46,237,6.9,78,9,16
"Sensor140",18,224,13.8,67,9,17
"Sensor141",13,27,10.3,76,9,18
"Sensor142",24,238,10.3,68,9,19
"Sensor143",16,201,8,82,9,20
"Sensor144",13,238,12.6,64,9,21
"Sensor145",23,14,9.2,71,9,22
"Sensor146",36,139,10.3,81,9,23
"Sensor147",7,49,10.3,69,9,24
"Sensor148",14,20,16.6,63,9,25
"Sensor149",30,193,6.9,70,9,26
"Sensor150",NA,145,13.2,77,9,27
"Sensor151",14,191,14.3,75,9,28
"Sensor152",18,131,8,76,9,29
"Sensor153",20,223,11.5,68,9,30
